2022/11/30 15:08:40 [error] 22#22: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.112.1, server: localhost, request: "GET /info.php HTTP/1.1", upstream: "fastcgi://192.168.112.3:9000", host: "localhost"
2022/11/30 15:18:37 [error] 25#25: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.112.1, server: localhost, request: "GET /missing.php HTTP/1.1", upstream: "fastcgi://192.168.112.2:9000", host: "localhost"
2022/11/30 15:18:45 [error] 25#25: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.112.1, server: localhost, request: "GET /missing.php HTTP/1.1", upstream: "fastcgi://192.168.112.2:9000", host: "localhost"
2022/11/30 15:18:46 [error] 25#25: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.112.1, server: localhost, request: "GET /missing.php HTTP/1.1", upstream: "fastcgi://192.168.112.2:9000", host: "localhost"
2022/11/30 15:18:47 [error] 25#25: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.112.1, server: localhost, request: "GET /missing.php HTTP/1.1", upstream: "fastcgi://192.168.112.2:9000", host: "localhost"
2022/11/30 15:18:47 [error] 25#25: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.112.1, server: localhost, request: "GET /missing.php HTTP/1.1", upstream: "fastcgi://192.168.112.2:9000", host: "localhost"
2022/11/30 15:18:47 [error] 25#25: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.112.1, server: localhost, request: "GET /missing.php HTTP/1.1", upstream: "fastcgi://192.168.112.2:9000", host: "localhost"
2022/11/30 15:18:47 [error] 25#25: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.112.1, server: localhost, request: "GET /missing.php HTTP/1.1", upstream: "fastcgi://192.168.112.2:9000", host: "localhost"
2022/11/30 15:18:47 [error] 25#25: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.112.1, server: localhost, request: "GET /missing.php HTTP/1.1", upstream: "fastcgi://192.168.112.2:9000", host: "localhost"
2022/11/30 15:18:48 [error] 25#25: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.112.1, server: localhost, request: "GET /missing.php HTTP/1.1", upstream: "fastcgi://192.168.112.2:9000", host: "localhost"
2022/11/30 15:19:03 [error] 25#25: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.112.1, server: localhost, request: "HEAD /missing.php HTTP/1.1", upstream: "fastcgi://192.168.112.2:9000", host: "localhost"
2022/11/30 15:19:09 [error] 25#25: *17 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.112.1, server: localhost, request: "GET /missing.php HTTP/1.1", upstream: "fastcgi://192.168.112.2:9000", host: "localhost"
